Version;Date_of_report;Date_of_statistics_week_start;Variant_code;Variant_name;ECDC_category;WHO_category;May_include_samples_listed_before;Sample_size;Variant_cases
3;2022-03-10 10:48:49;2020-11-30;B.1.351;Beta;VOC;VOC;False;75;0
3;2022-03-10 10:48:49;2020-11-30;P.1;Gamma;VOC;VOC;False;75;0
3;2022-03-10 10:48:49;2020-11-30;B.1.617.2;Delta;VOC;VOC;False;75;0
3;2022-03-10 10:48:49;2020-11-30;B.1.1.529;Omicron;VOC;VOC;False;75;0
3;2022-03-10 10:48:49;2020-11-30;B.1.640;;VUM;VUM;False;75;0
3;2022-03-10 10:48:49;2020-11-30;B.1.1.7;Alpha;DEV;VOC;False;75;1
3;2022-03-10 10:48:49;2020-11-30;B.1.621;Mu;DEV;VOI;False;75;0
3;2022-03-10 10:48:49;2020-11-30;C.37;Lambda;DEV;VOI;False;75;0
3;2022-03-10 10:48:49;2020-11-30;B.1.1.318;;DEV;VUM;False;75;0
3;2022-03-10 10:48:49;2020-11-30;C.1.2;;DEV;VUM;False;75;0
3;2022-03-10 10:48:49;2020-11-30;BA.1;;VOC;VOC;True;75;0
3;2022-03-10 10:48:49;2020-11-30;BA.2;;VOC;VOC;True;75;0
3;2022-03-10 10:48:49;2020-11-30;BA.3;;VOC;VOC;True;75;0
3;2022-03-10 10:48:49;2020-12-07;B.1.351;Beta;VOC;VOC;False;127;0
3;2022-03-10 10:48:49;2020-12-07;P.1;Gamma;VOC;VOC;False;127;0
3;2022-03-10 10:48:49;2020-12-07;B.1.617.2;Delta;VOC;VOC;False;127;0
3;2022-03-10 10:48:49;2020-12-07;B.1.1.529;Omicron;VOC;VOC;False;127;0
3;2022-03-10 10:48:49;2020-12-07;B.1.640;;VUM;VUM;False;127;0
3;2022-03-10 10:48:49;2020-12-07;B.1.1.7;Alpha;DEV;VOC;False;127;1
3;2022-03-10 10:48:49;2020-12-07;B.1.621;Mu;DEV;VOI;False;127;0
3;2022-03-10 10:48:49;2020-12-07;C.37;Lambda;DEV;VOI;False;127;0
3;2022-03-10 10:48:49;2020-12-07;B.1.1.318;;DEV;VUM;False;127;0
3;2022-03-10 10:48:49;2020-12-07;C.1.2;;DEV;VUM;False;127;0
3;2022-03-10 10:48:49;2020-12-07;BA.1;;VOC;VOC;True;127;0
3;2022-03-10 10:48:49;2020-12-07;BA.2;;VOC;VOC;True;127;0
3;2022-03-10 10:48:49;2020-12-07;BA.3;;VOC;VOC;True;127;0
3;2022-03-10 10:48:49;2020-12-14;B.1.351;Beta;VOC;VOC;False;203;0
3;2022-03-10 10:48:49;2020-12-14;P.1;Gamma;VOC;VOC;False;203;0
3;2022-03-10 10:48:49;2020-12-14;B.1.617.2;Delta;VOC;VOC;False;203;0
3;2022-03-10 10:48:49;2020-12-14;B.1.1.529;Omicron;VOC;VOC;False;203;0
3;2022-03-10 10:48:49;2020-12-14;B.1.640;;VUM;VUM;False;203;0
3;2022-03-10 10:48:49;2020-12-14;B.1.1.7;Alpha;DEV;VOC;False;203;1
3;2022-03-10 10:48:49;2020-12-14;B.1.621;Mu;DEV;VOI;False;203;0
3;2022-03-10 10:48:49;2020-12-14;C.37;Lambda;DEV;VOI;False;203;0
3;2022-03-10 10:48:49;2020-12-14;B.1.1.318;;DEV;VUM;False;203;0
3;2022-03-10 10:48:49;2020-12-14;C.1.2;;DEV;VUM;False;203;0
3;2022-03-10 10:48:49;2020-12-14;BA.1;;VOC;VOC;True;203;0
3;2022-03-10 10:48:49;2020-12-14;BA.2;;VOC;VOC;True;203;0
3;2022-03-10 10:48:49;2020-12-14;BA.3;;VOC;VOC;True;203;0
3;2022-03-10 10:48:49;2020-12-21;B.1.351;Beta;VOC;VOC;False;257;1
3;2022-03-10 10:48:49;2020-12-21;P.1;Gamma;VOC;VOC;False;257;0
3;2022-03-10 10:48:49;2020-12-21;B.1.617.2;Delta;VOC;VOC;False;257;0
3;2022-03-10 10:48:49;2020-12-21;B.1.1.529;Omicron;VOC;VOC;False;257;0
3;2022-03-10 10:48:49;2020-12-21;B.1.640;;VUM;VUM;False;257;0
3;2022-03-10 10:48:49;2020-12-21;B.1.1.7;Alpha;DEV;VOC;False;257;5
3;2022-03-10 10:48:49;2020-12-21;B.1.621;Mu;DEV;VOI;False;257;0
3;2022-03-10 10:48:49;2020-12-21;C.37;Lambda;DEV;VOI;False;257;0
3;2022-03-10 10:48:49;2020-12-21;B.1.1.318;;DEV;VUM;False;257;0
3;2022-03-10 10:48:49;2020-12-21;C.1.2;;DEV;VUM;False;257;0
3;2022-03-10 10:48:49;2020-12-21;BA.1;;VOC;VOC;True;257;0
3;2022-03-10 10:48:49;2020-12-21;BA.2;;VOC;VOC;True;257;0
3;2022-03-10 10:48:49;2020-12-21;BA.3;;VOC;VOC;True;257;0
3;2022-03-10 10:48:49;2020-12-28;B.1.351;Beta;VOC;VOC;False;207;1
3;2022-03-10 10:48:49;2020-12-28;P.1;Gamma;VOC;VOC;False;207;0
3;2022-03-10 10:48:49;2020-12-28;B.1.617.2;Delta;VOC;VOC;False;207;0
3;2022-03-10 10:48:49;2020-12-28;B.1.1.529;Omicron;VOC;VOC;False;207;0
3;2022-03-10 10:48:49;2020-12-28;B.1.640;;VUM;VUM;False;207;0
3;2022-03-10 10:48:49;2020-12-28;B.1.1.7;Alpha;DEV;VOC;False;207;9
3;2022-03-10 10:48:49;2020-12-28;B.1.621;Mu;DEV;VOI;False;207;0
3;2022-03-10 10:48:49;2020-12-28;C.37;Lambda;DEV;VOI;False;207;0
3;2022-03-10 10:48:49;2020-12-28;B.1.1.318;;DEV;VUM;False;207;0
3;2022-03-10 10:48:49;2020-12-28;C.1.2;;DEV;VUM;False;207;0
3;2022-03-10 10:48:49;2020-12-28;BA.1;;VOC;VOC;True;207;0
3;2022-03-10 10:48:49;2020-12-28;BA.2;;VOC;VOC;True;207;0
3;2022-03-10 10:48:49;2020-12-28;BA.3;;VOC;VOC;True;207;0
3;2022-03-10 10:48:49;2021-01-04;B.1.351;Beta;VOC;VOC;False;356;0
3;2022-03-10 10:48:49;2021-01-04;P.1;Gamma;VOC;VOC;False;356;0
3;2022-03-10 10:48:49;2021-01-04;B.1.617.2;Delta;VOC;VOC;False;356;0
3;2022-03-10 10:48:49;2021-01-04;B.1.1.529;Omicron;VOC;VOC;False;356;0
3;2022-03-10 10:48:49;2021-01-04;B.1.640;;VUM;VUM;False;356;0
3;2022-03-10 10:48:49;2021-01-04;B.1.1.7;Alpha;DEV;VOC;False;356;45
3;2022-03-10 10:48:49;2021-01-04;B.1.621;Mu;DEV;VOI;False;356;0
3;2022-03-10 10:48:49;2021-01-04;C.37;Lambda;DEV;VOI;False;356;0
3;2022-03-10 10:48:49;2021-01-04;B.1.1.318;;DEV;VUM;False;356;0
3;2022-03-10 10:48:49;2021-01-04;C.1.2;;DEV;VUM;False;356;0
3;2022-03-10 10:48:49;2021-01-04;BA.1;;VOC;VOC;True;356;0
3;2022-03-10 10:48:49;2021-01-04;BA.2;;VOC;VOC;True;356;0
3;2022-03-10 10:48:49;2021-01-04;BA.3;;VOC;VOC;True;356;0
3;2022-03-10 10:48:49;2021-01-11;B.1.351;Beta;VOC;VOC;False;303;3
3;2022-03-10 10:48:49;2021-01-11;P.1;Gamma;VOC;VOC;False;303;0
3;2022-03-10 10:48:49;2021-01-11;B.1.617.2;Delta;VOC;VOC;False;303;0
3;2022-03-10 10:48:49;2021-01-11;B.1.1.529;Omicron;VOC;VOC;False;303;0
3;2022-03-10 10:48:49;2021-01-11;B.1.640;;VUM;VUM;False;303;0
3;2022-03-10 10:48:49;2021-01-11;B.1.1.7;Alpha;DEV;VOC;False;303;60
3;2022-03-10 10:48:49;2021-01-11;B.1.621;Mu;DEV;VOI;False;303;0
3;2022-03-10 10:48:49;2021-01-11;C.37;Lambda;DEV;VOI;False;303;0
3;2022-03-10 10:48:49;2021-01-11;B.1.1.318;;DEV;VUM;False;303;0
3;2022-03-10 10:48:49;2021-01-11;C.1.2;;DEV;VUM;False;303;0
3;2022-03-10 10:48:49;2021-01-11;BA.1;;VOC;VOC;True;303;0
3;2022-03-10 10:48:49;2021-01-11;BA.2;;VOC;VOC;True;303;0
3;2022-03-10 10:48:49;2021-01-11;BA.3;;VOC;VOC;True;303;0
3;2022-03-10 10:48:49;2021-01-18;B.1.351;Beta;VOC;VOC;False;651;3
3;2022-03-10 10:48:49;2021-01-18;P.1;Gamma;VOC;VOC;False;651;0
3;2022-03-10 10:48:49;2021-01-18;B.1.617.2;Delta;VOC;VOC;False;651;0
3;2022-03-10 10:48:49;2021-01-18;B.1.1.529;Omicron;VOC;VOC;False;651;0
3;2022-03-10 10:48:49;2021-01-18;B.1.640;;VUM;VUM;False;651;0
3;2022-03-10 10:48:49;2021-01-18;B.1.1.7;Alpha;DEV;VOC;False;651;158
3;2022-03-10 10:48:49;2021-01-18;B.1.621;Mu;DEV;VOI;False;651;0
3;2022-03-10 10:48:49;2021-01-18;C.37;Lambda;DEV;VOI;False;651;0
3;2022-03-10 10:48:49;2021-01-18;B.1.1.318;;DEV;VUM;False;651;0
3;2022-03-10 10:48:49;2021-01-18;C.1.2;;DEV;VUM;False;651;0
3;2022-03-10 10:48:49;2021-01-18;BA.1;;VOC;VOC;True;651;0
3;2022-03-10 10:48:49;2021-01-18;BA.2;;VOC;VOC;True;651;0
3;2022-03-10 10:48:49;2021-01-18;BA.3;;VOC;VOC;True;651;0
3;2022-03-10 10:48:49;2021-01-25;B.1.351;Beta;VOC;VOC;False;876;14
3;2022-03-10 10:48:49;2021-01-25;P.1;Gamma;VOC;VOC;False;876;1
3;2022-03-10 10:48:49;2021-01-25;B.1.617.2;Delta;VOC;VOC;False;876;0
3;2022-03-10 10:48:49;2021-01-25;B.1.1.529;Omicron;VOC;VOC;False;876;0
3;2022-03-10 10:48:49;2021-01-25;B.1.640;;VUM;VUM;False;876;0
3;2022-03-10 10:48:49;2021-01-25;B.1.1.7;Alpha;DEV;VOC;False;876;216
3;2022-03-10 10:48:49;2021-01-25;B.1.621;Mu;DEV;VOI;False;876;0
3;2022-03-10 10:48:49;2021-01-25;C.37;Lambda;DEV;VOI;False;876;0
3;2022-03-10 10:48:49;2021-01-25;B.1.1.318;;DEV;VUM;False;876;0
3;2022-03-10 10:48:49;2021-01-25;C.1.2;;DEV;VUM;False;876;0
3;2022-03-10 10:48:49;2021-01-25;BA.1;;VOC;VOC;True;876;0
3;2022-03-10 10:48:49;2021-01-25;BA.2;;VOC;VOC;True;876;0
3;2022-03-10 10:48:49;2021-01-25;BA.3;;VOC;VOC;True;876;0
3;2022-03-10 10:48:49;2021-02-01;B.1.351;Beta;VOC;VOC;False;867;18
3;2022-03-10 10:48:49;2021-02-01;P.1;Gamma;VOC;VOC;False;867;0
3;2022-03-10 10:48:49;2021-02-01;B.1.617.2;Delta;VOC;VOC;False;867;0
3;2022-03-10 10:48:49;2021-02-01;B.1.1.529;Omicron;VOC;VOC;False;867;0
3;2022-03-10 10:48:49;2021-02-01;B.1.640;;VUM;VUM;False;867;0
3;2022-03-10 10:48:49;2021-02-01;B.1.1.7;Alpha;DEV;VOC;False;867;206
3;2022-03-10 10:48:49;2021-02-01;B.1.621;Mu;DEV;VOI;False;867;0
3;2022-03-10 10:48:49;2021-02-01;C.37;Lambda;DEV;VOI;False;867;0
3;2022-03-10 10:48:49;2021-02-01;B.1.1.318;;DEV;VUM;False;867;0
3;2022-03-10 10:48:49;2021-02-01;C.1.2;;DEV;VUM;False;867;0
3;2022-03-10 10:48:49;2021-02-01;BA.1;;VOC;VOC;True;867;0
3;2022-03-10 10:48:49;2021-02-01;BA.2;;VOC;VOC;True;867;0
3;2022-03-10 10:48:49;2021-02-01;BA.3;;VOC;VOC;True;867;0
3;2022-03-10 10:48:49;2021-02-08;B.1.351;Beta;VOC;VOC;False;937;30
3;2022-03-10 10:48:49;2021-02-08;P.1;Gamma;VOC;VOC;False;937;0
3;2022-03-10 10:48:49;2021-02-08;B.1.617.2;Delta;VOC;VOC;False;937;0
3;2022-03-10 10:48:49;2021-02-08;B.1.1.529;Omicron;VOC;VOC;False;937;0
3;2022-03-10 10:48:49;2021-02-08;B.1.640;;VUM;VUM;False;937;0
3;2022-03-10 10:48:49;2021-02-08;B.1.1.7;Alpha;DEV;VOC;False;937;250
3;2022-03-10 10:48:49;2021-02-08;B.1.621;Mu;DEV;VOI;False;937;0
3;2022-03-10 10:48:49;2021-02-08;C.37;Lambda;DEV;VOI;False;937;0
3;2022-03-10 10:48:49;2021-02-08;B.1.1.318;;DEV;VUM;False;937;0
3;2022-03-10 10:48:49;2021-02-08;C.1.2;;DEV;VUM;False;937;0
3;2022-03-10 10:48:49;2021-02-08;BA.1;;VOC;VOC;True;937;0
3;2022-03-10 10:48:49;2021-02-08;BA.2;;VOC;VOC;True;937;0
3;2022-03-10 10:48:49;2021-02-08;BA.3;;VOC;VOC;True;937;0
3;2022-03-10 10:48:49;2021-02-15;B.1.351;Beta;VOC;VOC;False;1048;32
3;2022-03-10 10:48:49;2021-02-15;P.1;Gamma;VOC;VOC;False;1048;1
3;2022-03-10 10:48:49;2021-02-15;B.1.617.2;Delta;VOC;VOC;False;1048;0
3;2022-03-10 10:48:49;2021-02-15;B.1.1.529;Omicron;VOC;VOC;False;1048;0
3;2022-03-10 10:48:49;2021-02-15;B.1.640;;VUM;VUM;False;1048;0
3;2022-03-10 10:48:49;2021-02-15;B.1.1.7;Alpha;DEV;VOC;False;1048;617
3;2022-03-10 10:48:49;2021-02-15;B.1.621;Mu;DEV;VOI;False;1048;0
3;2022-03-10 10:48:49;2021-02-15;C.37;Lambda;DEV;VOI;False;1048;0
3;2022-03-10 10:48:49;2021-02-15;B.1.1.318;;DEV;VUM;False;1048;0
3;2022-03-10 10:48:49;2021-02-15;C.1.2;;DEV;VUM;False;1048;0
3;2022-03-10 10:48:49;2021-02-15;BA.1;;VOC;VOC;True;1048;0
3;2022-03-10 10:48:49;2021-02-15;BA.2;;VOC;VOC;True;1048;0
3;2022-03-10 10:48:49;2021-02-15;BA.3;;VOC;VOC;True;1048;0
3;2022-03-10 10:48:49;2021-02-22;B.1.351;Beta;VOC;VOC;False;1037;19
3;2022-03-10 10:48:49;2021-02-22;P.1;Gamma;VOC;VOC;False;1037;3
3;2022-03-10 10:48:49;2021-02-22;B.1.617.2;Delta;VOC;VOC;False;1037;0
3;2022-03-10 10:48:49;2021-02-22;B.1.1.529;Omicron;VOC;VOC;False;1037;0
3;2022-03-10 10:48:49;2021-02-22;B.1.640;;VUM;VUM;False;1037;0
3;2022-03-10 10:48:49;2021-02-22;B.1.1.7;Alpha;DEV;VOC;False;1037;794
3;2022-03-10 10:48:49;2021-02-22;B.1.621;Mu;DEV;VOI;False;1037;0
3;2022-03-10 10:48:49;2021-02-22;C.37;Lambda;DEV;VOI;False;1037;0
3;2022-03-10 10:48:49;2021-02-22;B.1.1.318;;DEV;VUM;False;1037;0
3;2022-03-10 10:48:49;2021-02-22;C.1.2;;DEV;VUM;False;1037;0
3;2022-03-10 10:48:49;2021-02-22;BA.1;;VOC;VOC;True;1037;0
3;2022-03-10 10:48:49;2021-02-22;BA.2;;VOC;VOC;True;1037;0
3;2022-03-10 10:48:49;2021-02-22;BA.3;;VOC;VOC;True;1037;0
3;2022-03-10 10:48:49;2021-03-01;B.1.351;Beta;VOC;VOC;False;1515;24
3;2022-03-10 10:48:49;2021-03-01;P.1;Gamma;VOC;VOC;False;1515;10
3;2022-03-10 10:48:49;2021-03-01;B.1.617.2;Delta;VOC;VOC;False;1515;0
3;2022-03-10 10:48:49;2021-03-01;B.1.1.529;Omicron;VOC;VOC;False;1515;0
3;2022-03-10 10:48:49;2021-03-01;B.1.640;;VUM;VUM;False;1515;0
3;2022-03-10 10:48:49;2021-03-01;B.1.1.7;Alpha;DEV;VOC;False;1515;1269
3;2022-03-10 10:48:49;2021-03-01;B.1.621;Mu;DEV;VOI;False;1515;0
3;2022-03-10 10:48:49;2021-03-01;C.37;Lambda;DEV;VOI;False;1515;0
3;2022-03-10 10:48:49;2021-03-01;B.1.1.318;;DEV;VUM;False;1515;0
3;2022-03-10 10:48:49;2021-03-01;C.1.2;;DEV;VUM;False;1515;0
3;2022-03-10 10:48:49;2021-03-01;BA.1;;VOC;VOC;True;1515;0
3;2022-03-10 10:48:49;2021-03-01;BA.2;;VOC;VOC;True;1515;0
3;2022-03-10 10:48:49;2021-03-01;BA.3;;VOC;VOC;True;1515;0
3;2022-03-10 10:48:49;2021-03-08;B.1.351;Beta;VOC;VOC;False;1974;56
3;2022-03-10 10:48:49;2021-03-08;P.1;Gamma;VOC;VOC;False;1974;13
3;2022-03-10 10:48:49;2021-03-08;B.1.617.2;Delta;VOC;VOC;False;1974;0
3;2022-03-10 10:48:49;2021-03-08;B.1.1.529;Omicron;VOC;VOC;False;1974;0
3;2022-03-10 10:48:49;2021-03-08;B.1.640;;VUM;VUM;False;1974;0
3;2022-03-10 10:48:49;2021-03-08;B.1.1.7;Alpha;DEV;VOC;False;1974;1728
3;2022-03-10 10:48:49;2021-03-08;B.1.621;Mu;DEV;VOI;False;1974;0
3;2022-03-10 10:48:49;2021-03-08;C.37;Lambda;DEV;VOI;False;1974;0
3;2022-03-10 10:48:49;2021-03-08;B.1.1.318;;DEV;VUM;False;1974;1
3;2022-03-10 10:48:49;2021-03-08;C.1.2;;DEV;VUM;False;1974;0
3;2022-03-10 10:48:49;2021-03-08;BA.1;;VOC;VOC;True;1974;0
3;2022-03-10 10:48:49;2021-03-08;BA.2;;VOC;VOC;True;1974;0
3;2022-03-10 10:48:49;2021-03-08;BA.3;;VOC;VOC;True;1974;0
3;2022-03-10 10:48:49;2021-03-15;B.1.351;Beta;VOC;VOC;False;1563;56
3;2022-03-10 10:48:49;2021-03-15;P.1;Gamma;VOC;VOC;False;1563;23
3;2022-03-10 10:48:49;2021-03-15;B.1.617.2;Delta;VOC;VOC;False;1563;0
3;2022-03-10 10:48:49;2021-03-15;B.1.1.529;Omicron;VOC;VOC;False;1563;0
3;2022-03-10 10:48:49;2021-03-15;B.1.640;;VUM;VUM;False;1563;0
3;2022-03-10 10:48:49;2021-03-15;B.1.1.7;Alpha;DEV;VOC;False;1563;1399
3;2022-03-10 10:48:49;2021-03-15;B.1.621;Mu;DEV;VOI;False;1563;0
3;2022-03-10 10:48:49;2021-03-15;C.37;Lambda;DEV;VOI;False;1563;0
3;2022-03-10 10:48:49;2021-03-15;B.1.1.318;;DEV;VUM;False;1563;0
3;2022-03-10 10:48:49;2021-03-15;C.1.2;;DEV;VUM;False;1563;0
3;2022-03-10 10:48:49;2021-03-15;BA.1;;VOC;VOC;True;1563;0
3;2022-03-10 10:48:49;2021-03-15;BA.2;;VOC;VOC;True;1563;0
3;2022-03-10 10:48:49;2021-03-15;BA.3;;VOC;VOC;True;1563;0
3;2022-03-10 10:48:49;2021-03-22;B.1.351;Beta;VOC;VOC;False;1601;39
3;2022-03-10 10:48:49;2021-03-22;P.1;Gamma;VOC;VOC;False;1601;23
3;2022-03-10 10:48:49;2021-03-22;B.1.617.2;Delta;VOC;VOC;False;1601;0
3;2022-03-10 10:48:49;2021-03-22;B.1.1.529;Omicron;VOC;VOC;False;1601;0
3;2022-03-10 10:48:49;2021-03-22;B.1.640;;VUM;VUM;False;1601;0
3;2022-03-10 10:48:49;2021-03-22;B.1.1.7;Alpha;DEV;VOC;False;1601;1495
3;2022-03-10 10:48:49;2021-03-22;B.1.621;Mu;DEV;VOI;False;1601;0
3;2022-03-10 10:48:49;2021-03-22;C.37;Lambda;DEV;VOI;False;1601;0
3;2022-03-10 10:48:49;2021-03-22;B.1.1.318;;DEV;VUM;False;1601;0
3;2022-03-10 10:48:49;2021-03-22;C.1.2;;DEV;VUM;False;1601;0
3;2022-03-10 10:48:49;2021-03-22;BA.1;;VOC;VOC;True;1601;0
3;2022-03-10 10:48:49;2021-03-22;BA.2;;VOC;VOC;True;1601;0
3;2022-03-10 10:48:49;2021-03-22;BA.3;;VOC;VOC;True;1601;0
3;2022-03-10 10:48:49;2021-03-29;B.1.351;Beta;VOC;VOC;False;1711;40
3;2022-03-10 10:48:49;2021-03-29;P.1;Gamma;VOC;VOC;False;1711;15
3;2022-03-10 10:48:49;2021-03-29;B.1.617.2;Delta;VOC;VOC;False;1711;0
3;2022-03-10 10:48:49;2021-03-29;B.1.1.529;Omicron;VOC;VOC;False;1711;0
3;2022-03-10 10:48:49;2021-03-29;B.1.640;;VUM;VUM;False;1711;0
3;2022-03-10 10:48:49;2021-03-29;B.1.1.7;Alpha;DEV;VOC;False;1711;1620
3;2022-03-10 10:48:49;2021-03-29;B.1.621;Mu;DEV;VOI;False;1711;0
3;2022-03-10 10:48:49;2021-03-29;C.37;Lambda;DEV;VOI;False;1711;0
3;2022-03-10 10:48:49;2021-03-29;B.1.1.318;;DEV;VUM;False;1711;0
3;2022-03-10 10:48:49;2021-03-29;C.1.2;;DEV;VUM;False;1711;0
3;2022-03-10 10:48:49;2021-03-29;BA.1;;VOC;VOC;True;1711;0
3;2022-03-10 10:48:49;2021-03-29;BA.2;;VOC;VOC;True;1711;0
3;2022-03-10 10:48:49;2021-03-29;BA.3;;VOC;VOC;True;1711;0
3;2022-03-10 10:48:49;2021-04-05;B.1.351;Beta;VOC;VOC;False;1532;28
3;2022-03-10 10:48:49;2021-04-05;P.1;Gamma;VOC;VOC;False;1532;23
3;2022-03-10 10:48:49;2021-04-05;B.1.617.2;Delta;VOC;VOC;False;1532;0
3;2022-03-10 10:48:49;2021-04-05;B.1.1.529;Omicron;VOC;VOC;False;1532;0
3;2022-03-10 10:48:49;2021-04-05;B.1.640;;VUM;VUM;False;1532;0
3;2022-03-10 10:48:49;2021-04-05;B.1.1.7;Alpha;DEV;VOC;False;1532;1461
3;2022-03-10 10:48:49;2021-04-05;B.1.621;Mu;DEV;VOI;False;1532;1
3;2022-03-10 10:48:49;2021-04-05;C.37;Lambda;DEV;VOI;False;1532;0
3;2022-03-10 10:48:49;2021-04-05;B.1.1.318;;DEV;VUM;False;1532;1
3;2022-03-10 10:48:49;2021-04-05;C.1.2;;DEV;VUM;False;1532;0
3;2022-03-10 10:48:49;2021-04-05;BA.1;;VOC;VOC;True;1532;0
3;2022-03-10 10:48:49;2021-04-05;BA.2;;VOC;VOC;True;1532;0
3;2022-03-10 10:48:49;2021-04-05;BA.3;;VOC;VOC;True;1532;0
3;2022-03-10 10:48:49;2021-04-12;B.1.351;Beta;VOC;VOC;False;1677;20
3;2022-03-10 10:48:49;2021-04-12;P.1;Gamma;VOC;VOC;False;1677;21
3;2022-03-10 10:48:49;2021-04-12;B.1.617.2;Delta;VOC;VOC;False;1677;1
3;2022-03-10 10:48:49;2021-04-12;B.1.1.529;Omicron;VOC;VOC;False;1677;0
3;2022-03-10 10:48:49;2021-04-12;B.1.640;;VUM;VUM;False;1677;0
3;2022-03-10 10:48:49;2021-04-12;B.1.1.7;Alpha;DEV;VOC;False;1677;1621
3;2022-03-10 10:48:49;2021-04-12;B.1.621;Mu;DEV;VOI;False;1677;1
3;2022-03-10 10:48:49;2021-04-12;C.37;Lambda;DEV;VOI;False;1677;0
3;2022-03-10 10:48:49;2021-04-12;B.1.1.318;;DEV;VUM;False;1677;0
3;2022-03-10 10:48:49;2021-04-12;C.1.2;;DEV;VUM;False;1677;0
3;2022-03-10 10:48:49;2021-04-12;BA.1;;VOC;VOC;True;1677;0
3;2022-03-10 10:48:49;2021-04-12;BA.2;;VOC;VOC;True;1677;0
3;2022-03-10 10:48:49;2021-04-12;BA.3;;VOC;VOC;True;1677;0
3;2022-03-10 10:48:49;2021-04-19;B.1.351;Beta;VOC;VOC;False;1593;18
3;2022-03-10 10:48:49;2021-04-19;P.1;Gamma;VOC;VOC;False;1593;28
3;2022-03-10 10:48:49;2021-04-19;B.1.617.2;Delta;VOC;VOC;False;1593;2
3;2022-03-10 10:48:49;2021-04-19;B.1.1.529;Omicron;VOC;VOC;False;1593;0
3;2022-03-10 10:48:49;2021-04-19;B.1.640;;VUM;VUM;False;1593;0
3;2022-03-10 10:48:49;2021-04-19;B.1.1.7;Alpha;DEV;VOC;False;1593;1532
3;2022-03-10 10:48:49;2021-04-19;B.1.621;Mu;DEV;VOI;False;1593;2
3;2022-03-10 10:48:49;2021-04-19;C.37;Lambda;DEV;VOI;False;1593;0
3;2022-03-10 10:48:49;2021-04-19;B.1.1.318;;DEV;VUM;False;1593;0
3;2022-03-10 10:48:49;2021-04-19;C.1.2;;DEV;VUM;False;1593;0
3;2022-03-10 10:48:49;2021-04-19;BA.1;;VOC;VOC;True;1593;0
3;2022-03-10 10:48:49;2021-04-19;BA.2;;VOC;VOC;True;1593;0
3;2022-03-10 10:48:49;2021-04-19;BA.3;;VOC;VOC;True;1593;0
3;2022-03-10 10:48:49;2021-04-26;B.1.351;Beta;VOC;VOC;False;1691;7
3;2022-03-10 10:48:49;2021-04-26;P.1;Gamma;VOC;VOC;False;1691;28
3;2022-03-10 10:48:49;2021-04-26;B.1.617.2;Delta;VOC;VOC;False;1691;4
3;2022-03-10 10:48:49;2021-04-26;B.1.1.529;Omicron;VOC;VOC;False;1691;0
3;2022-03-10 10:48:49;2021-04-26;B.1.640;;VUM;VUM;False;1691;0
3;2022-03-10 10:48:49;2021-04-26;B.1.1.7;Alpha;DEV;VOC;False;1691;1643
3;2022-03-10 10:48:49;2021-04-26;B.1.621;Mu;DEV;VOI;False;1691;1
3;2022-03-10 10:48:49;2021-04-26;C.37;Lambda;DEV;VOI;False;1691;0
