Version;Date_of_report;Date_of_statistics_week_start;Variant_code;Variant_name;ECDC_category;WHO_category;Is_subvariant_of;Sample_size;Variant_cases
4;2022-08-30 00:33:11;2020-11-30;B.1.1.529;Omicron;;VOC;;75;0
4;2022-08-30 00:33:11;2020-11-30;BA.1;Omicron;VOC;;B.1.1.529;75;0
4;2022-08-30 00:33:11;2020-11-30;BA.2;Omicron;VOC;;B.1.1.529;75;0
4;2022-08-30 00:33:11;2020-11-30;BA.4;Omicron;VOC;VOC-LUM;B.1.1.529;75;0
4;2022-08-30 00:33:11;2020-11-30;BA.5;Omicron;VOC;VOC-LUM;B.1.1.529;75;0
4;2022-08-30 00:33:11;2020-11-30;BA.2.75;Omicron;VOI;VOC-LUM;BA.2;75;0
4;2022-08-30 00:33:11;2020-11-30;BA.2+S:L452X;Omicron;VOI;;BA.2;75;0
4;2022-08-30 00:33:11;2020-11-30;BA.2.12.1;Omicron;VOI;VOC-LUM;BA.2+S:L452X;75;0
4;2022-08-30 00:33:11;2020-11-30;BA.3;Omicron;VUM;;B.1.1.529;75;0
4;2022-08-30 00:33:11;2020-11-30;B.1.617.2;Delta;DEV;;;75;0
4;2022-08-30 00:33:11;2020-11-30;B.1.351;Beta;DEV;;;75;0
4;2022-08-30 00:33:11;2020-11-30;P.1;Gamma;DEV;;;75;0
4;2022-08-30 00:33:11;2020-11-30;B.1.1.7;Alpha;DEV;;;75;1
4;2022-08-30 00:33:11;2020-11-30;B.1.621;Mu;DEV;;;75;0
4;2022-08-30 00:33:11;2020-11-30;C.37;Lambda;DEV;;;75;0
4;2022-08-30 00:33:11;2020-12-07;B.1.1.529;Omicron;;VOC;;127;0
4;2022-08-30 00:33:11;2020-12-07;BA.1;Omicron;VOC;;B.1.1.529;127;0
4;2022-08-30 00:33:11;2020-12-07;BA.2;Omicron;VOC;;B.1.1.529;127;0
4;2022-08-30 00:33:11;2020-12-07;BA.4;Omicron;VOC;VOC-LUM;B.1.1.529;127;0
4;2022-08-30 00:33:11;2020-12-07;BA.5;Omicron;VOC;VOC-LUM;B.1.1.529;127;0
4;2022-08-30 00:33:11;2020-12-07;BA.2.75;Omicron;VOI;VOC-LUM;BA.2;127;0
4;2022-08-30 00:33:11;2020-12-07;BA.2+S:L452X;Omicron;VOI;;BA.2;127;0
4;2022-08-30 00:33:11;2020-12-07;BA.2.12.1;Omicron;VOI;VOC-LUM;BA.2+S:L452X;127;0
4;2022-08-30 00:33:11;2020-12-07;BA.3;Omicron;VUM;;B.1.1.529;127;0
4;2022-08-30 00:33:11;2020-12-07;B.1.617.2;Delta;DEV;;;127;0
4;2022-08-30 00:33:11;2020-12-07;B.1.351;Beta;DEV;;;127;0
4;2022-08-30 00:33:11;2020-12-07;P.1;Gamma;DEV;;;127;0
4;2022-08-30 00:33:11;2020-12-07;B.1.1.7;Alpha;DEV;;;127;1
4;2022-08-30 00:33:11;2020-12-07;B.1.621;Mu;DEV;;;127;0
4;2022-08-30 00:33:11;2020-12-07;C.37;Lambda;DEV;;;127;0
4;2022-08-30 00:33:11;2020-12-14;B.1.1.529;Omicron;;VOC;;203;0
4;2022-08-30 00:33:11;2020-12-14;BA.1;Omicron;VOC;;B.1.1.529;203;0
4;2022-08-30 00:33:11;2020-12-14;BA.2;Omicron;VOC;;B.1.1.529;203;0
4;2022-08-30 00:33:11;2020-12-14;BA.4;Omicron;VOC;VOC-LUM;B.1.1.529;203;0
4;2022-08-30 00:33:11;2020-12-14;BA.5;Omicron;VOC;VOC-LUM;B.1.1.529;203;0
4;2022-08-30 00:33:11;2020-12-14;BA.2.75;Omicron;VOI;VOC-LUM;BA.2;203;0
4;2022-08-30 00:33:11;2020-12-14;BA.2+S:L452X;Omicron;VOI;;BA.2;203;0
4;2022-08-30 00:33:11;2020-12-14;BA.2.12.1;Omicron;VOI;VOC-LUM;BA.2+S:L452X;203;0
4;2022-08-30 00:33:11;2020-12-14;BA.3;Omicron;VUM;;B.1.1.529;203;0
4;2022-08-30 00:33:11;2020-12-14;B.1.617.2;Delta;DEV;;;203;0
4;2022-08-30 00:33:11;2020-12-14;B.1.351;Beta;DEV;;;203;0
4;2022-08-30 00:33:11;2020-12-14;P.1;Gamma;DEV;;;203;0
4;2022-08-30 00:33:11;2020-12-14;B.1.1.7;Alpha;DEV;;;203;1
4;2022-08-30 00:33:11;2020-12-14;B.1.621;Mu;DEV;;;203;0
4;2022-08-30 00:33:11;2020-12-14;C.37;Lambda;DEV;;;203;0
4;2022-08-30 00:33:11;2020-12-21;B.1.1.529;Omicron;;VOC;;257;0
4;2022-08-30 00:33:11;2020-12-21;BA.1;Omicron;VOC;;B.1.1.529;257;0
4;2022-08-30 00:33:11;2020-12-21;BA.2;Omicron;VOC;;B.1.1.529;257;0
4;2022-08-30 00:33:11;2020-12-21;BA.4;Omicron;VOC;VOC-LUM;B.1.1.529;257;0
4;2022-08-30 00:33:11;2020-12-21;BA.5;Omicron;VOC;VOC-LUM;B.1.1.529;257;0
4;2022-08-30 00:33:11;2020-12-21;BA.2.75;Omicron;VOI;VOC-LUM;BA.2;257;0
4;2022-08-30 00:33:11;2020-12-21;BA.2+S:L452X;Omicron;VOI;;BA.2;257;0
4;2022-08-30 00:33:11;2020-12-21;BA.2.12.1;Omicron;VOI;VOC-LUM;BA.2+S:L452X;257;0
4;2022-08-30 00:33:11;2020-12-21;BA.3;Omicron;VUM;;B.1.1.529;257;0
4;2022-08-30 00:33:11;2020-12-21;B.1.617.2;Delta;DEV;;;257;0
4;2022-08-30 00:33:11;2020-12-21;B.1.351;Beta;DEV;;;257;1
4;2022-08-30 00:33:11;2020-12-21;P.1;Gamma;DEV;;;257;0
4;2022-08-30 00:33:11;2020-12-21;B.1.1.7;Alpha;DEV;;;257;5
4;2022-08-30 00:33:11;2020-12-21;B.1.621;Mu;DEV;;;257;0
4;2022-08-30 00:33:11;2020-12-21;C.37;Lambda;DEV;;;257;0
4;2022-08-30 00:33:11;2020-12-28;B.1.1.529;Omicron;;VOC;;207;0
4;2022-08-30 00:33:11;2020-12-28;BA.1;Omicron;VOC;;B.1.1.529;207;0
4;2022-08-30 00:33:11;2020-12-28;BA.2;Omicron;VOC;;B.1.1.529;207;0
4;2022-08-30 00:33:11;2020-12-28;BA.4;Omicron;VOC;VOC-LUM;B.1.1.529;207;0
4;2022-08-30 00:33:11;2020-12-28;BA.5;Omicron;VOC;VOC-LUM;B.1.1.529;207;0
4;2022-08-30 00:33:11;2020-12-28;BA.2.75;Omicron;VOI;VOC-LUM;BA.2;207;0
4;2022-08-30 00:33:11;2020-12-28;BA.2+S:L452X;Omicron;VOI;;BA.2;207;0
4;2022-08-30 00:33:11;2020-12-28;BA.2.12.1;Omicron;VOI;VOC-LUM;BA.2+S:L452X;207;0
4;2022-08-30 00:33:11;2020-12-28;BA.3;Omicron;VUM;;B.1.1.529;207;0
4;2022-08-30 00:33:11;2020-12-28;B.1.617.2;Delta;DEV;;;207;0
4;2022-08-30 00:33:11;2020-12-28;B.1.351;Beta;DEV;;;207;1
4;2022-08-30 00:33:11;2020-12-28;P.1;Gamma;DEV;;;207;0
4;2022-08-30 00:33:11;2020-12-28;B.1.1.7;Alpha;DEV;;;207;9
4;2022-08-30 00:33:11;2020-12-28;B.1.621;Mu;DEV;;;207;0
4;2022-08-30 00:33:11;2020-12-28;C.37;Lambda;DEV;;;207;0
4;2022-08-30 00:33:11;2021-01-04;B.1.1.529;Omicron;;VOC;;356;0
4;2022-08-30 00:33:11;2021-01-04;BA.1;Omicron;VOC;;B.1.1.529;356;0
4;2022-08-30 00:33:11;2021-01-04;BA.2;Omicron;VOC;;B.1.1.529;356;0
4;2022-08-30 00:33:11;2021-01-04;BA.4;Omicron;VOC;VOC-LUM;B.1.1.529;356;0
4;2022-08-30 00:33:11;2021-01-04;BA.5;Omicron;VOC;VOC-LUM;B.1.1.529;356;0
4;2022-08-30 00:33:11;2021-01-04;BA.2.75;Omicron;VOI;VOC-LUM;BA.2;356;0
4;2022-08-30 00:33:11;2021-01-04;BA.2+S:L452X;Omicron;VOI;;BA.2;356;0
4;2022-08-30 00:33:11;2021-01-04;BA.2.12.1;Omicron;VOI;VOC-LUM;BA.2+S:L452X;356;0
4;2022-08-30 00:33:11;2021-01-04;BA.3;Omicron;VUM;;B.1.1.529;356;0
4;2022-08-30 00:33:11;2021-01-04;B.1.617.2;Delta;DEV;;;356;0
4;2022-08-30 00:33:11;2021-01-04;B.1.351;Beta;DEV;;;356;0
4;2022-08-30 00:33:11;2021-01-04;P.1;Gamma;DEV;;;356;0
4;2022-08-30 00:33:11;2021-01-04;B.1.1.7;Alpha;DEV;;;356;45
4;2022-08-30 00:33:11;2021-01-04;B.1.621;Mu;DEV;;;356;0
4;2022-08-30 00:33:11;2021-01-04;C.37;Lambda;DEV;;;356;0
4;2022-08-30 00:33:11;2021-01-11;B.1.1.529;Omicron;;VOC;;303;0
4;2022-08-30 00:33:11;2021-01-11;BA.1;Omicron;VOC;;B.1.1.529;303;0
4;2022-08-30 00:33:11;2021-01-11;BA.2;Omicron;VOC;;B.1.1.529;303;0
4;2022-08-30 00:33:11;2021-01-11;BA.4;Omicron;VOC;VOC-LUM;B.1.1.529;303;0
4;2022-08-30 00:33:11;2021-01-11;BA.5;Omicron;VOC;VOC-LUM;B.1.1.529;303;0
4;2022-08-30 00:33:11;2021-01-11;BA.2.75;Omicron;VOI;VOC-LUM;BA.2;303;0
4;2022-08-30 00:33:11;2021-01-11;BA.2+S:L452X;Omicron;VOI;;BA.2;303;0
4;2022-08-30 00:33:11;2021-01-11;BA.2.12.1;Omicron;VOI;VOC-LUM;BA.2+S:L452X;303;0
4;2022-08-30 00:33:11;2021-01-11;BA.3;Omicron;VUM;;B.1.1.529;303;0
4;2022-08-30 00:33:11;2021-01-11;B.1.617.2;Delta;DEV;;;303;0
4;2022-08-30 00:33:11;2021-01-11;B.1.351;Beta;DEV;;;303;3
4;2022-08-30 00:33:11;2021-01-11;P.1;Gamma;DEV;;;303;0
4;2022-08-30 00:33:11;2021-01-11;B.1.1.7;Alpha;DEV;;;303;61
4;2022-08-30 00:33:11;2021-01-11;B.1.621;Mu;DEV;;;303;0
4;2022-08-30 00:33:11;2021-01-11;C.37;Lambda;DEV;;;303;0
4;2022-08-30 00:33:11;2021-01-18;B.1.1.529;Omicron;;VOC;;651;0
4;2022-08-30 00:33:11;2021-01-18;BA.1;Omicron;VOC;;B.1.1.529;651;0
4;2022-08-30 00:33:11;2021-01-18;BA.2;Omicron;VOC;;B.1.1.529;651;0
4;2022-08-30 00:33:11;2021-01-18;BA.4;Omicron;VOC;VOC-LUM;B.1.1.529;651;0
4;2022-08-30 00:33:11;2021-01-18;BA.5;Omicron;VOC;VOC-LUM;B.1.1.529;651;0
4;2022-08-30 00:33:11;2021-01-18;BA.2.75;Omicron;VOI;VOC-LUM;BA.2;651;0
4;2022-08-30 00:33:11;2021-01-18;BA.2+S:L452X;Omicron;VOI;;BA.2;651;0
4;2022-08-30 00:33:11;2021-01-18;BA.2.12.1;Omicron;VOI;VOC-LUM;BA.2+S:L452X;651;0
4;2022-08-30 00:33:11;2021-01-18;BA.3;Omicron;VUM;;B.1.1.529;651;0
4;2022-08-30 00:33:11;2021-01-18;B.1.617.2;Delta;DEV;;;651;0
4;2022-08-30 00:33:11;2021-01-18;B.1.351;Beta;DEV;;;651;3
4;2022-08-30 00:33:11;2021-01-18;P.1;Gamma;DEV;;;651;0
4;2022-08-30 00:33:11;2021-01-18;B.1.1.7;Alpha;DEV;;;651;158
4;2022-08-30 00:33:11;2021-01-18;B.1.621;Mu;DEV;;;651;0
4;2022-08-30 00:33:11;2021-01-18;C.37;Lambda;DEV;;;651;0
4;2022-08-30 00:33:11;2021-01-25;B.1.1.529;Omicron;;VOC;;876;0
4;2022-08-30 00:33:11;2021-01-25;BA.1;Omicron;VOC;;B.1.1.529;876;0
4;2022-08-30 00:33:11;2021-01-25;BA.2;Omicron;VOC;;B.1.1.529;876;0
4;2022-08-30 00:33:11;2021-01-25;BA.4;Omicron;VOC;VOC-LUM;B.1.1.529;876;0
4;2022-08-30 00:33:11;2021-01-25;BA.5;Omicron;VOC;VOC-LUM;B.1.1.529;876;0
4;2022-08-30 00:33:11;2021-01-25;BA.2.75;Omicron;VOI;VOC-LUM;BA.2;876;0
4;2022-08-30 00:33:11;2021-01-25;BA.2+S:L452X;Omicron;VOI;;BA.2;876;0
4;2022-08-30 00:33:11;2021-01-25;BA.2.12.1;Omicron;VOI;VOC-LUM;BA.2+S:L452X;876;0
4;2022-08-30 00:33:11;2021-01-25;BA.3;Omicron;VUM;;B.1.1.529;876;0
4;2022-08-30 00:33:11;2021-01-25;B.1.617.2;Delta;DEV;;;876;0
4;2022-08-30 00:33:11;2021-01-25;B.1.351;Beta;DEV;;;876;14
4;2022-08-30 00:33:11;2021-01-25;P.1;Gamma;DEV;;;876;1
4;2022-08-30 00:33:11;2021-01-25;B.1.1.7;Alpha;DEV;;;876;224
4;2022-08-30 00:33:11;2021-01-25;B.1.621;Mu;DEV;;;876;0
4;2022-08-30 00:33:11;2021-01-25;C.37;Lambda;DEV;;;876;0
4;2022-08-30 00:33:11;2021-02-01;B.1.1.529;Omicron;;VOC;;867;0
4;2022-08-30 00:33:11;2021-02-01;BA.1;Omicron;VOC;;B.1.1.529;867;0
4;2022-08-30 00:33:11;2021-02-01;BA.2;Omicron;VOC;;B.1.1.529;867;0
4;2022-08-30 00:33:11;2021-02-01;BA.4;Omicron;VOC;VOC-LUM;B.1.1.529;867;0
4;2022-08-30 00:33:11;2021-02-01;BA.5;Omicron;VOC;VOC-LUM;B.1.1.529;867;0
4;2022-08-30 00:33:11;2021-02-01;BA.2.75;Omicron;VOI;VOC-LUM;BA.2;867;0
4;2022-08-30 00:33:11;2021-02-01;BA.2+S:L452X;Omicron;VOI;;BA.2;867;0
4;2022-08-30 00:33:11;2021-02-01;BA.2.12.1;Omicron;VOI;VOC-LUM;BA.2+S:L452X;867;0
4;2022-08-30 00:33:11;2021-02-01;BA.3;Omicron;VUM;;B.1.1.529;867;0
4;2022-08-30 00:33:11;2021-02-01;B.1.617.2;Delta;DEV;;;867;0
4;2022-08-30 00:33:11;2021-02-01;B.1.351;Beta;DEV;;;867;20
4;2022-08-30 00:33:11;2021-02-01;P.1;Gamma;DEV;;;867;0
4;2022-08-30 00:33:11;2021-02-01;B.1.1.7;Alpha;DEV;;;867;272
4;2022-08-30 00:33:11;2021-02-01;B.1.621;Mu;DEV;;;867;0
4;2022-08-30 00:33:11;2021-02-01;C.37;Lambda;DEV;;;867;0
4;2022-08-30 00:33:11;2021-02-08;B.1.1.529;Omicron;;VOC;;947;0
4;2022-08-30 00:33:11;2021-02-08;BA.1;Omicron;VOC;;B.1.1.529;947;0
4;2022-08-30 00:33:11;2021-02-08;BA.2;Omicron;VOC;;B.1.1.529;947;0
4;2022-08-30 00:33:11;2021-02-08;BA.4;Omicron;VOC;VOC-LUM;B.1.1.529;947;0
4;2022-08-30 00:33:11;2021-02-08;BA.5;Omicron;VOC;VOC-LUM;B.1.1.529;947;0
4;2022-08-30 00:33:11;2021-02-08;BA.2.75;Omicron;VOI;VOC-LUM;BA.2;947;0
4;2022-08-30 00:33:11;2021-02-08;BA.2+S:L452X;Omicron;VOI;;BA.2;947;0
4;2022-08-30 00:33:11;2021-02-08;BA.2.12.1;Omicron;VOI;VOC-LUM;BA.2+S:L452X;947;0
4;2022-08-30 00:33:11;2021-02-08;BA.3;Omicron;VUM;;B.1.1.529;947;0
4;2022-08-30 00:33:11;2021-02-08;B.1.617.2;Delta;DEV;;;947;0
4;2022-08-30 00:33:11;2021-02-08;B.1.351;Beta;DEV;;;947;34
4;2022-08-30 00:33:11;2021-02-08;P.1;Gamma;DEV;;;947;0
4;2022-08-30 00:33:11;2021-02-08;B.1.1.7;Alpha;DEV;;;947;357
4;2022-08-30 00:33:11;2021-02-08;B.1.621;Mu;DEV;;;947;0
4;2022-08-30 00:33:11;2021-02-08;C.37;Lambda;DEV;;;947;0
4;2022-08-30 00:33:11;2021-02-15;B.1.1.529;Omicron;;VOC;;1048;0
4;2022-08-30 00:33:11;2021-02-15;BA.1;Omicron;VOC;;B.1.1.529;1048;0
4;2022-08-30 00:33:11;2021-02-15;BA.2;Omicron;VOC;;B.1.1.529;1048;0
4;2022-08-30 00:33:11;2021-02-15;BA.4;Omicron;VOC;VOC-LUM;B.1.1.529;1048;0
4;2022-08-30 00:33:11;2021-02-15;BA.5;Omicron;VOC;VOC-LUM;B.1.1.529;1048;0
4;2022-08-30 00:33:11;2021-02-15;BA.2.75;Omicron;VOI;VOC-LUM;BA.2;1048;0
4;2022-08-30 00:33:11;2021-02-15;BA.2+S:L452X;Omicron;VOI;;BA.2;1048;0
4;2022-08-30 00:33:11;2021-02-15;BA.2.12.1;Omicron;VOI;VOC-LUM;BA.2+S:L452X;1048;0
4;2022-08-30 00:33:11;2021-02-15;BA.3;Omicron;VUM;;B.1.1.529;1048;0
4;2022-08-30 00:33:11;2021-02-15;B.1.617.2;Delta;DEV;;;1048;0
4;2022-08-30 00:33:11;2021-02-15;B.1.351;Beta;DEV;;;1048;32
4;2022-08-30 00:33:11;2021-02-15;P.1;Gamma;DEV;;;1048;1
4;2022-08-30 00:33:11;2021-02-15;B.1.1.7;Alpha;DEV;;;1048;643
4;2022-08-30 00:33:11;2021-02-15;B.1.621;Mu;DEV;;;1048;0
4;2022-08-30 00:33:11;2021-02-15;C.37;Lambda;DEV;;;1048;0
4;2022-08-30 00:33:11;2021-02-22;B.1.1.529;Omicron;;VOC;;1037;0
4;2022-08-30 00:33:11;2021-02-22;BA.1;Omicron;VOC;;B.1.1.529;1037;0
4;2022-08-30 00:33:11;2021-02-22;BA.2;Omicron;VOC;;B.1.1.529;1037;0
4;2022-08-30 00:33:11;2021-02-22;BA.4;Omicron;VOC;VOC-LUM;B.1.1.529;1037;0
4;2022-08-30 00:33:11;2021-02-22;BA.5;Omicron;VOC;VOC-LUM;B.1.1.529;1037;0
4;2022-08-30 00:33:11;2021-02-22;BA.2.75;Omicron;VOI;VOC-LUM;BA.2;1037;0
4;2022-08-30 00:33:11;2021-02-22;BA.2+S:L452X;Omicron;VOI;;BA.2;1037;0
4;2022-08-30 00:33:11;2021-02-22;BA.2.12.1;Omicron;VOI;VOC-LUM;BA.2+S:L452X;1037;0
4;2022-08-30 00:33:11;2021-02-22;BA.3;Omicron;VUM;;B.1.1.529;1037;0
4;2022-08-30 00:33:11;2021-02-22;B.1.617.2;Delta;DEV;;;1037;0
4;2022-08-30 00:33:11;2021-02-22;B.1.351;Beta;DEV;;;1037;19
4;2022-08-30 00:33:11;2021-02-22;P.1;Gamma;DEV;;;1037;3
4;2022-08-30 00:33:11;2021-02-22;B.1.1.7;Alpha;DEV;;;1037;794
4;2022-08-30 00:33:11;2021-02-22;B.1.621;Mu;DEV;;;1037;0
4;2022-08-30 00:33:11;2021-02-22;C.37;Lambda;DEV;;;1037;0
4;2022-08-30 00:33:11;2021-03-01;B.1.1.529;Omicron;;VOC;;1515;0
4;2022-08-30 00:33:11;2021-03-01;BA.1;Omicron;VOC;;B.1.1.529;1515;0
4;2022-08-30 00:33:11;2021-03-01;BA.2;Omicron;VOC;;B.1.1.529;1515;0
4;2022-08-30 00:33:11;2021-03-01;BA.4;Omicron;VOC;VOC-LUM;B.1.1.529;1515;0
4;2022-08-30 00:33:11;2021-03-01;BA.5;Omicron;VOC;VOC-LUM;B.1.1.529;1515;0
4;2022-08-30 00:33:11;2021-03-01;BA.2.75;Omicron;VOI;VOC-LUM;BA.2;1515;0
4;2022-08-30 00:33:11;2021-03-01;BA.2+S:L452X;Omicron;VOI;;BA.2;1515;0
4;2022-08-30 00:33:11;2021-03-01;BA.2.12.1;Omicron;VOI;VOC-LUM;BA.2+S:L452X;1515;0
4;2022-08-30 00:33:11;2021-03-01;BA.3;Omicron;VUM;;B.1.1.529;1515;0
4;2022-08-30 00:33:11;2021-03-01;B.1.617.2;Delta;DEV;;;1515;0
4;2022-08-30 00:33:11;2021-03-01;B.1.351;Beta;DEV;;;1515;24
4;2022-08-30 00:33:11;2021-03-01;P.1;Gamma;DEV;;;1515;10
4;2022-08-30 00:33:11;2021-03-01;B.1.1.7;Alpha;DEV;;;1515;1271
4;2022-08-30 00:33:11;2021-03-01;B.1.621;Mu;DEV;;;1515;0
4;2022-08-30 00:33:11;2021-03-01;C.37;Lambda;DEV;;;1515;0
4;2022-08-30 00:33:11;2021-03-08;B.1.1.529;Omicron;;VOC;;1974;0
4;2022-08-30 00:33:11;2021-03-08;BA.1;Omicron;VOC;;B.1.1.529;1974;0
4;2022-08-30 00:33:11;2021-03-08;BA.2;Omicron;VOC;;B.1.1.529;1974;0
4;2022-08-30 00:33:11;2021-03-08;BA.4;Omicron;VOC;VOC-LUM;B.1.1.529;1974;0
4;2022-08-30 00:33:11;2021-03-08;BA.5;Omicron;VOC;VOC-LUM;B.1.1.529;1974;0
4;2022-08-30 00:33:11;2021-03-08;BA.2.75;Omicron;VOI;VOC-LUM;BA.2;1974;0
4;2022-08-30 00:33:11;2021-03-08;BA.2+S:L452X;Omicron;VOI;;BA.2;1974;0
4;2022-08-30 00:33:11;2021-03-08;BA.2.12.1;Omicron;VOI;VOC-LUM;BA.2+S:L452X;1974;0
4;2022-08-30 00:33:11;2021-03-08;BA.3;Omicron;VUM;;B.1.1.529;1974;0
4;2022-08-30 00:33:11;2021-03-08;B.1.617.2;Delta;DEV;;;1974;0
4;2022-08-30 00:33:11;2021-03-08;B.1.351;Beta;DEV;;;1974;56
4;2022-08-30 00:33:11;2021-03-08;P.1;Gamma;DEV;;;1974;13
4;2022-08-30 00:33:11;2021-03-08;B.1.1.7;Alpha;DEV;;;1974;1729
4;2022-08-30 00:33:11;2021-03-08;B.1.621;Mu;DEV;;;1974;0
4;2022-08-30 00:33:11;2021-03-08;C.37;Lambda;DEV;;;1974;0
4;2022-08-30 00:33:11;2021-03-15;B.1.1.529;Omicron;;VOC;;1563;0
4;2022-08-30 00:33:11;2021-03-15;BA.1;Omicron;VOC;;B.1.1.529;1563;0
4;2022-08-30 00:33:11;2021-03-15;BA.2;Omicron;VOC;;B.1.1.529;1563;0
4;2022-08-30 00:33:11;2021-03-15;BA.4;Omicron;VOC;VOC-LUM;B.1.1.529;1563;0
4;2022-08-30 00:33:11;2021-03-15;BA.5;Omicron;VOC;VOC-LUM;B.1.1.529;1563;0
4;2022-08-30 00:33:11;2021-03-15;BA.2.75;Omicron;VOI;VOC-LUM;BA.2;1563;0
4;2022-08-30 00:33:11;2021-03-15;BA.2+S:L452X;Omicron;VOI;;BA.2;1563;0
4;2022-08-30 00:33:11;2021-03-15;BA.2.12.1;Omicron;VOI;VOC-LUM;BA.2+S:L452X;1563;0
4;2022-08-30 00:33:11;2021-03-15;BA.3;Omicron;VUM;;B.1.1.529;1563;0
4;2022-08-30 00:33:11;2021-03-15;B.1.617.2;Delta;DEV;;;1563;0
4;2022-08-30 00:33:11;2021-03-15;B.1.351;Beta;DEV;;;1563;55
4;2022-08-30 00:33:11;2021-03-15;P.1;Gamma;DEV;;;1563;23
4;2022-08-30 00:33:11;2021-03-15;B.1.1.7;Alpha;DEV;;;1563;1400
4;2022-08-30 00:33:11;2021-03-15;B.1.621;Mu;DEV;;;1563;0
4;2022-08-30 00:33:11;2021-03-15;C.37;Lambda;DEV;;;1563;0
4;2022-08-30 00:33:11;2021-03-22;B.1.1.529;Omicron;;VOC;;1601;0
4;2022-08-30 00:33:11;2021-03-22;BA.1;Omicron;VOC;;B.1.1.529;1601;0
4;2022-08-30 00:33:11;2021-03-22;BA.2;Omicron;VOC;;B.1.1.529;1601;0
4;2022-08-30 00:33:11;2021-03-22;BA.4;Omicron;VOC;VOC-LUM;B.1.1.529;1601;0
4;2022-08-30 00:33:11;2021-03-22;BA.5;Omicron;VOC;VOC-LUM;B.1.1.529;1601;0
4;2022-08-30 00:33:11;2021-03-22;BA.2.75;Omicron;VOI;VOC-LUM;BA.2;1601;0
4;2022-08-30 00:33:11;2021-03-22;BA.2+S:L452X;Omicron;VOI;;BA.2;1601;0
4;2022-08-30 00:33:11;2021-03-22;BA.2.12.1;Omicron;VOI;VOC-LUM;BA.2+S:L452X;1601;0
4;2022-08-30 00:33:11;2021-03-22;BA.3;Omicron;VUM;;B.1.1.529;1601;0
4;2022-08-30 00:33:11;2021-03-22;B.1.617.2;Delta;DEV;;;1601;0
4;2022-08-30 00:33:11;2021-03-22;B.1.351;Beta;DEV;;;1601;39
4;2022-08-30 00:33:11;2021-03-22;P.1;Gamma;DEV;;;1601;23
4;2022-08-30 00:33:11;2021-03-22;B.1.1.7;Alpha;DEV;;;1601;1495
4;2022-08-30 00:33:11;2021-03-22;B.1.621;Mu;DEV;;;1601;0
4;2022-08-30 00:33:11;2021-03-22;C.37;Lambda;DEV;;;1601;0
4;2022-08-30 00:33:11;2021-03-29;B.1.1.529;Omicron;;VOC;;1727;0
4;2022-08-30 00:33:11;2021-03-29;BA.1;Omicron;VOC;;B.1.1.529;1727;0
4;2022-08-30 00:33:11;2021-03-29;BA.2;Omicron;VOC;;B.1.1.529;1727;0
4;2022-08-30 00:33:11;2021-03-29;BA.4;Omicron;VOC;VOC-LUM;B.1.1.529;1727;0
4;2022-08-30 00:33:11;2021-03-29;BA.5;Omicron;VOC;VOC-LUM;B.1.1.529;1727;0
4;2022-08-30 00:33:11;2021-03-29;BA.2.75;Omicron;VOI;VOC-LUM;BA.2;1727;0
4;2022-08-30 00:33:11;2021-03-29;BA.2+S:L452X;Omicron;VOI;;BA.2;1727;0
4;2022-08-30 00:33:11;2021-03-29;BA.2.12.1;Omicron;VOI;VOC-LUM;BA.2+S:L452X;1727;0
4;2022-08-30 00:33:11;2021-03-29;BA.3;Omicron;VUM;;B.1.1.529;1727;0
4;2022-08-30 00:33:11;2021-03-29;B.1.617.2;Delta;DEV;;;1727;0
4;2022-08-30 00:33:11;2021-03-29;B.1.351;Beta;DEV;;;1727;41
4;2022-08-30 00:33:11;2021-03-29;P.1;Gamma;DEV;;;1727;15
